,0
datetime_x,0
season,0
holiday,0
workingday,0
weather,0
temp_x,0
atemp,0
humidity_x,0
windspeed_x,0
casual,0
registered,0
count,0
datetime_y,0
tempmax,0
tempmin,0
temp_y,0
feelslikemax,0
feelslikemin,0
feelslike,0
dew,0
humidity_y,0
precip,0
precipprob,0
precipcover,0
snow,0
snowdepth,0
windgust,3685
windspeed_y,0
winddir,0
sealevelpressure,0
cloudcover,0
visibility,0
solarradiation,0
solarenergy,0
uvindex,0
severerisk,10886
sunrise,0
sunset,0
moonphase,0
hour,0
day,0
month,0
year,0
day_of_week,0
week_of_year,0
quarter,0
semester,0
am_pm,0
